1.2500000000e+00 2.9311025230e+00
1.2501000000e+00 2.9310147590e+00
1.2502000000e+00 2.9309269940e+00
1.2503000000e+00 2.9308392300e+00
1.2504000000e+00 2.9307514660e+00
1.2505000000e+00 2.9306637010e+00
1.2506000000e+00 2.9305759360e+00
1.2507000000e+00 2.9304881710e+00
1.2508000000e+00 2.9304004050e+00
1.2509000000e+00 2.9303126400e+00
1.2510000000e+00 2.9302248740e+00
1.2511000000e+00 2.9301371090e+00
1.2512000000e+00 2.9300493430e+00
1.2513000000e+00 2.9299615760e+00
1.2514000000e+00 2.9298738100e+00
1.2515000000e+00 2.9297860440e+00
1.2516000000e+00 2.9296982770e+00
1.2517000000e+00 2.9296105100e+00
1.2518000000e+00 2.9295227430e+00
1.2519000000e+00 2.9294349760e+00
1.2520000000e+00 2.9293472080e+00
1.2521000000e+00 2.9292594410e+00
1.2522000000e+00 2.9291716730e+00
1.2523000000e+00 2.9290839050e+00
1.2524000000e+00 2.9289961370e+00
1.2525000000e+00 2.9289083690e+00
1.2526000000e+00 2.9288206010e+00
1.2527000000e+00 2.9287328320e+00
1.2528000000e+00 2.9286450630e+00
1.2529000000e+00 2.9285572940e+00
1.2530000000e+00 2.9284695250e+00
1.2531000000e+00 2.9283817560e+00
1.2532000000e+00 2.9282939870e+00
1.2533000000e+00 2.9282062170e+00
1.2534000000e+00 2.9281184470e+00
1.2535000000e+00 2.9280306770e+00
1.2536000000e+00 2.9279429070e+00
1.2537000000e+00 2.9278551370e+00
1.2538000000e+00 2.9277673670e+00
1.2539000000e+00 2.9276795960e+00
1.2540000000e+00 2.9275918250e+00
1.2541000000e+00 2.9275040540e+00
1.2542000000e+00 2.9274162830e+00
1.2543000000e+00 2.9273285120e+00
1.2544000000e+00 2.9272407410e+00
1.2545000000e+00 2.9271529690e+00
1.2546000000e+00 2.9270651970e+00
1.2547000000e+00 2.9269774250e+00
1.2548000000e+00 2.9268896530e+00
1.2549000000e+00 2.9268018810e+00
1.2550000000e+00 2.9267141090e+00
1.2551000000e+00 2.9266263360e+00
1.2552000000e+00 2.9265385640e+00
1.2553000000e+00 2.9264507910e+00
1.2554000000e+00 2.9263630180e+00
1.2555000000e+00 2.9262752440e+00
1.2556000000e+00 2.9261874710e+00
1.2557000000e+00 2.9260996980e+00
1.2558000000e+00 2.9260119240e+00
1.2559000000e+00 2.9259241500e+00
1.2560000000e+00 2.9258363760e+00
1.2561000000e+00 2.9257486020e+00
1.2562000000e+00 2.9256608280e+00
1.2563000000e+00 2.9255730540e+00
1.2564000000e+00 2.9254852790e+00
1.2565000000e+00 2.9253975040e+00
1.2566000000e+00 2.9253097290e+00
1.2567000000e+00 2.9252219540e+00
1.2568000000e+00 2.9251341790e+00
1.2569000000e+00 2.9250464040e+00
1.2570000000e+00 2.9249586280e+00
1.2571000000e+00 2.9248708530e+00
1.2572000000e+00 2.9247830770e+00
1.2573000000e+00 2.9246953010e+00
1.2574000000e+00 2.9246075250e+00
1.2575000000e+00 2.9245197490e+00
1.2576000000e+00 2.9244319720e+00
1.2577000000e+00 2.9243441960e+00
1.2578000000e+00 2.9242564190e+00
1.2579000000e+00 2.9241686420e+00
1.2580000000e+00 2.9240808650e+00
1.2581000000e+00 2.9239930880e+00
1.2582000000e+00 2.9239053110e+00
1.2583000000e+00 2.9238175330e+00
1.2584000000e+00 2.9237297560e+00
1.2585000000e+00 2.9236419780e+00
1.2586000000e+00 2.9235542000e+00
1.2587000000e+00 2.9234664220e+00
1.2588000000e+00 2.9233786440e+00
1.2589000000e+00 2.9232908660e+00
1.2590000000e+00 2.9232030870e+00
1.2591000000e+00 2.9231153090e+00
1.2592000000e+00 2.9230275300e+00
1.2593000000e+00 2.9229397510e+00
1.2594000000e+00 2.9228519720e+00
1.2595000000e+00 2.9227641930e+00
1.2596000000e+00 2.9226764140e+00
1.2597000000e+00 2.9225886340e+00
1.2598000000e+00 2.9225008550e+00
1.2599000000e+00 2.9224130750e+00
1.2600000000e+00 2.9223252950e+00
1.2601000000e+00 2.9222478430e+00
